type	id_in_tp	id_in_bigg	descripation	old_bigg_ids	feature_tp	feature_bigg	notes
met	2mpal_e		not in bigg				
met	LTAala_LPL_c		not in bigg				
met	3mbol_e		not in bigg				
met	methal_e		not in bigg				
met	isobut_c		not in bigg				
met	plac_e		not in bigg				
met	4vcoum_c		not in bigg				
met	2mbol_c		not in bigg				
met	g6p__B_c		not in bigg				
met	agly3p_LPL_c		not in bigg				
met	pa_LPL_c		not in bigg				
met	dgdag_LPL_c		not in bigg				
met	polypi_c		not in bigg				
met	alalac_c		not in bigg				
met	2mpol_e		not in bigg				
met	methal_c		not in bigg				
met	uagmdalac_c		not in bigg				
met	RTAglc_c		not in bigg				
met	MCOSH_c		not in bigg				
met	PreZ_c		not in bigg				
met	CPS_LPL2_c		not in bigg				
met	RNA_LPL_c		not in bigg				
met	MGD_c		not in bigg				
met	indlac_e		not in bigg				
met	3mbol_c		not in bigg				
met	ppaca_c		not in bigg				
met	imlac_c		not in bigg				
met	idt_c		not in bigg				
met	cdpdag_LPL_c		not in bigg				
met	CPS_LPL_c		not in bigg				
met	plac_c		not in bigg				
met	2mbol_e		not in bigg				
met	clpn_LPL_c		not in bigg				
met	pgp_LPL_c		not in bigg				
met	MPT_c		not in bigg				
met	2mpol_c		not in bigg				
met	impyr_c		not in bigg				
met	isoval_c		not in bigg				
met	34hplac_c		not in bigg				
met	rbt5p_c		not in bigg				
met	uaagmdalac_c		not in bigg				
met	4coum_c		not in bigg				
met	Moco_c		not in bigg				
met	pg_LPL_c		not in bigg				
met	PROT_LPL_v60_c		not in bigg				
met	lyspg_LPL_c		not in bigg				
met	DNA_LPL_c		not in bigg				
met	PGlac2_c		not in bigg				
met	indlac_c		not in bigg				
met	RTAala_c		not in bigg				
met	btd__RR_c		not in bigg				
met	dag_LPL_c		not in bigg				
met	isoval_e		not in bigg				
met	imlac_e		not in bigg				
met	ugmdalac_c		not in bigg				
met	LTA_LPL_c		not in bigg				
met	g1p__B_c		not in bigg				
met	34hplac_e		not in bigg				
met	isobut_e		not in bigg				
met	MCOOH_c		not in bigg				
met	nh3_e	nh3_c	without compartment(id in old_bigg_ids)	nh3; nh3[c]; nh3_c			
met	cysth__L_c	cyst__L_c	without compartment(id in old_bigg_ids)	cyst-L[c]; cyst_DASH_L_c; cyst_L[c]; cyst_L_c; cyst__L; cyst__L_c; cysth_L_c; cysth__L			
