,type,id_in_tp,id_in_bigg,descripation,old_bigg_ids,feature_tp,feature_bigg,other
502,met,3htdacp_c,3htdacp_c,id in bigg,,,,
503,met,dgsn_c,dgsn_c,id in bigg,,,,
504,met,3oxddacp_c,3oxddacp_c,id in bigg,,,,
505,met,mal__L_e,mal__L_e,id in bigg,,,,
506,met,dtdp4d6dg_c,dtdp4d6dg_c,id in bigg,,,,
507,met,g3ps_c,g3ps_c,id in bigg,,,,
508,met,his__L_c,his__L_c,id in bigg,,,,
509,met,trnaarg_c,trnaarg_c,id in bigg,,,,
510,met,5aprbu_c,5aprbu_c,id in bigg,,,,
511,met,4abut_c,4abut_c,id in bigg,,,,
512,met,ac_c,ac_c,id in bigg,,,,
513,met,4mpetz_c,4mpetz_c,id in bigg,,,,
514,met,ura_c,ura_c,id in bigg,,,,
515,met,ddeacp_c,ddeacp_c,id in bigg,,,,
516,met,orot_c,orot_c,id in bigg,,,,
517,met,pacald_c,pacald_c,id in bigg,,,,
518,met,f6p_c,f6p_c,id in bigg,,,,
519,met,accoa_c,accoa_c,id in bigg,,,,
520,met,co2_e,co2_e,id in bigg,,,,
521,met,uamag_c,uamag_c,id in bigg,,,,
522,met,2ippm_c,2ippm_c,id in bigg,,,,
523,met,5dpmev_c,5dpmev_c,id in bigg,,,,
524,met,fgam_c,fgam_c,id in bigg,,,,
525,met,cbp_c,cbp_c,id in bigg,,,,
526,met,arg__L_c,arg__L_c,id in bigg,,,,
527,met,alaala_c,alaala_c,id in bigg,,,,
528,met,amp_c,amp_c,id in bigg,,,,
529,met,sucr_e,sucr_e,id in bigg,,,,
530,met,pi_c,pi_c,id in bigg,,,,
531,met,3hbacp_c,3hbacp_c,id in bigg,,,,
532,met,inost_c,inost_c,id in bigg,,,,
533,met,fol_c,fol_c,id in bigg,,,,
534,met,alatrna_c,alatrna_c,id in bigg,,,,
535,met,btd_RR_e,btd_RR_e,id in bigg,,,,
536,met,pppi_c,pppi_c,id in bigg,,,,
537,met,acgam_e,acgam_e,id in bigg,,,,
538,met,g1p_c,g1p_c,id in bigg,,,,
539,met,udpgalfur_c,udpgalfur_c,id in bigg,,,,
540,met,xan_e,xan_e,id in bigg,,,,
541,met,sl2a6o_c,sl2a6o_c,id in bigg,,,,
542,met,lyspg_LLA_c,lyspg_LLA_c,id in bigg,,,,
543,met,oaa_c,oaa_c,id in bigg,,,,
544,met,3oxhacp_c,3oxhacp_c,id in bigg,,,,
545,met,2hxic__L_e,2hxic__L_e,id in bigg,,,,
546,met,mana_c,mana_c,id in bigg,,,,
547,met,r5p_c,r5p_c,id in bigg,,,,
548,met,gly_e,gly_e,id in bigg,,,,
549,met,mlthf_c,mlthf_c,id in bigg,,,,
550,met,hpglu_c,hpglu_c,id in bigg,,,,
551,met,thym_c,thym_c,id in bigg,,,,
552,met,cdprbtl_c,cdprbtl_c,id in bigg,,,,
553,met,3mba_c,3mba_c,id in bigg,,,,
554,met,2ttdeacp_c,2ttdeacp_c,id in bigg,,,,
555,met,haram_c,haram_c,id in bigg,,,,
556,met,tyrtrna_c,tyrtrna_c,id in bigg,,,,
557,met,lcts_e,lcts_e,id in bigg,,,,
558,met,h2o_c,h2o_c,id in bigg,,,,
559,met,trnaile_c,trnaile_c,id in bigg,,,,
560,met,atp_c,atp_c,id in bigg,,,,
561,met,prbatp_c,prbatp_c,id in bigg,,,,
562,met,fe3_c,fe3_c,id in bigg,,,,
563,met,db4p_c,db4p_c,id in bigg,,,,
564,met,hom__L_c,hom__L_c,id in bigg,,,,
565,met,dutp_c,dutp_c,id in bigg,,,,
566,met,dtdpglc_c,dtdpglc_c,id in bigg,,,,
567,met,ser__L_e,ser__L_e,id in bigg,,,,
568,met,acald_c,acald_c,id in bigg,,,,
569,met,ivcoa_c,ivcoa_c,id in bigg,,,,
570,met,nmn_e,nmn_e,id in bigg,,,,
571,met,dctp_c,dctp_c,id in bigg,,,,
572,met,N1aspmd_c,N1aspmd_c,id in bigg,,,,
573,met,2mpa_e,2mpa_e,id in bigg,,,,
574,met,pg_LLA_c,pg_LLA_c,id in bigg,,,,
575,met,2dda7p_c,2dda7p_c,id in bigg,,,,
576,met,dad_2_c,dad_2_c,id in bigg,,,,
577,met,ribflvRD_c,ribflvRD_c,id in bigg,,,,
578,met,3php_c,3php_c,id in bigg,,,,
579,met,2aeppn_e,2aeppn_e,id in bigg,,,,
580,met,trnagln_c,trnagln_c,id in bigg,,,,
581,met,3oxtdacp_c,3oxtdacp_c,id in bigg,,,,
582,met,dttp_c,dttp_c,id in bigg,,,,
583,met,ichor_c,ichor_c,id in bigg,,,,
584,met,2ddglcn_c,2ddglcn_c,id in bigg,,,,
585,met,trp__L_e,trp__L_e,id in bigg,,,,
586,met,gdp_c,gdp_c,id in bigg,,,,
587,met,diact_c,diact_c,id in bigg,,,,
588,met,methf_c,methf_c,id in bigg,,,,
589,met,aacoa_c,aacoa_c,id in bigg,,,,
590,met,achms_c,achms_c,id in bigg,,,,
591,met,succ_e,succ_e,id in bigg,,,,
592,met,pser__L_c,pser__L_c,id in bigg,,,,
593,met,frdp_c,frdp_c,id in bigg,,,,
594,met,gal_c,gal_c,id in bigg,,,,
595,met,2cpr5p_c,2cpr5p_c,id in bigg,,,,
596,met,pyr_e,pyr_e,id in bigg,,,,
597,met,unRTA_c,unRTA_c,id in bigg,,,,
598,met,nac_c,nac_c,id in bigg,,,,
599,met,galur_c,galur_c,id in bigg,,,,
600,met,uaaAgla_c,uaaAgla_c,id in bigg,,,,
601,met,glyc3p_c,glyc3p_c,id in bigg,,,,
602,met,malcoa_c,malcoa_c,id in bigg,,,,
603,met,fmettrna_c,fmettrna_c,id in bigg,,,,
604,met,carorn_c,carorn_c,id in bigg,,,,
605,met,dha_c,dha_c,id in bigg,,,,
606,met,xyl__D_c,xyl__D_c,id in bigg,,,,
607,met,hxan_c,hxan_c,id in bigg,,,,
608,met,mqn7_c,mqn7_c,id in bigg,,,,
609,met,thmpp_c,thmpp_c,id in bigg,,,,
610,met,h2s_c,h2s_c,id in bigg,,,,
611,met,indole_c,indole_c,id in bigg,,,,
612,met,26dap_LL_c,26dap_LL_c,id in bigg,,,,
613,met,sbzcoa_c,sbzcoa_c,id in bigg,,,,
614,met,drib_c,drib_c,id in bigg,,,,
615,met,adpglc_c,adpglc_c,id in bigg,,,,
616,met,glycogen_c,glycogen_c,id in bigg,,,,
617,met,3dhq_c,3dhq_c,id in bigg,,,,
618,met,tdeacp_c,tdeacp_c,id in bigg,,,,
619,met,hcys__L_c,hcys__L_c,id in bigg,,,,
620,met,2aeppn_c,2aeppn_c,id in bigg,,,,
621,met,chitin_c,chitin_c,id in bigg,,,,
622,met,pro__L_e,pro__L_e,id in bigg,,,,
623,met,trnaphe_c,trnaphe_c,id in bigg,,,,
624,met,2tddacp_c,2tddacp_c,id in bigg,,,,
625,met,dump_c,dump_c,id in bigg,,,,
626,met,3c2hmp_c,3c2hmp_c,id in bigg,,,,
627,met,mnl_e,mnl_e,id in bigg,,,,
628,met,udcpp_c,udcpp_c,id in bigg,,,,
629,met,csn_c,csn_c,id in bigg,,,,
630,met,nadp_c,nadp_c,id in bigg,,,,
631,met,ch4s_c,ch4s_c,id in bigg,,,,
632,met,m12dg_LLA_c,m12dg_LLA_c,id in bigg,,,,
633,met,air_c,air_c,id in bigg,,,,
634,met,val__L_c,val__L_c,id in bigg,,,,
635,met,pap_c,pap_c,id in bigg,,,,
636,met,trdrd_c,trdrd_c,id in bigg,,,,
637,met,phe__L_c,phe__L_c,id in bigg,,,,
638,met,asntrna_c,asntrna_c,id in bigg,,,,
639,met,etha_c,etha_c,id in bigg,,,,
640,met,glcur_c,glcur_c,id in bigg,,,,
641,met,g6p_c,g6p_c,id in bigg,,,,
642,met,g3pc_c,g3pc_c,id in bigg,,,,
643,met,glu__L_e,glu__L_e,id in bigg,,,,
644,met,e4p_c,e4p_c,id in bigg,,,,
645,met,s7p_c,s7p_c,id in bigg,,,,
646,met,man6p_c,man6p_c,id in bigg,,,,
647,met,4r5au_c,4r5au_c,id in bigg,,,,
648,met,3hocdacp_c,3hocdacp_c,id in bigg,,,,
649,met,zn2_e,zn2_e,id in bigg,,,,
